	8K_800X_SORT
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     47, CAPSTONE  , STAT, Requests to/from client                                   ,             4,         .2,         ,             ,          ,           ,        .05 per execution
     47, CAPSTONE  , STAT, opened cursors cumulative                                 ,            85,       4.32,         ,             ,          ,           ,          1 per execution
     47, CAPSTONE  , STAT, user calls                                                ,             6,         .3,         ,             ,          ,           ,        .07 per execution
     47, CAPSTONE  , STAT, recursive calls                                           ,           198,      10.05,         ,             ,          ,           ,   101.01us recursive CPU per recursive call
     47, CAPSTONE  , STAT, recursive cpu usage                                       ,             2,         .1,         ,             ,          ,           ,       20ms total recursive CPU usage
     47, CAPSTONE  , STAT, session logical reads                                     ,          3095,     157.17,         ,             ,          ,           ,       3.1k total buffer visits
     47, CAPSTONE  , STAT, CPU used when call started                                ,             1,        .05,         ,             ,          ,           ,       10ms total CPU used when call started
     47, CAPSTONE  , STAT, CPU used by this session                                  ,            31,       1.57,         ,             ,          ,           ,      310ms total CPU used by this session
     47, CAPSTONE  , STAT, DB time                                                   ,            33,       1.68,         ,             ,          ,           ,        .39 per execution
     47, CAPSTONE  , STAT, user I/O wait time                                        ,             1,        .05,         ,             ,          ,           ,        .01 per execution
     47, CAPSTONE  , STAT, non-idle wait count                                       ,            72,       3.66,         ,             ,          ,           ,        .85 per execution
     47, CAPSTONE  , STAT, process last non-idle time                                ,            69,        3.5,         ,             ,          ,           ,        .81 per execution
     47, CAPSTONE  , STAT, session uga memory                                        ,         19600,     995.33,         ,             ,          ,           ,      19.6k actual value in end of snapshot
     47, CAPSTONE  , STAT, session uga memory max                                    ,       1900760,     96.52k,         ,             ,          ,           ,       1.9M actual value in end of snapshot
     47, CAPSTONE  , STAT, session pga memory                                        ,        131072,      6.66k,         ,             ,          ,           ,    131.07k actual value in end of snapshot
     47, CAPSTONE  , STAT, enqueue requests                                          ,             9,        .46,         ,             ,          ,           ,        .11 per execution
     47, CAPSTONE  , STAT, enqueue releases                                          ,             9,        .46,         ,             ,          ,           ,        .11 per execution
     47, CAPSTONE  , STAT, physical read total IO requests                           ,            38,       1.93,         ,             ,          ,           ,    597.58k bytes per request
     47, CAPSTONE  , STAT, physical read total multi block requests                  ,            21,       1.07,         ,             ,          ,           ,         17 total single block read requests
     47, CAPSTONE  , STAT, physical read total bytes                                 ,      22708224,      1.15M,         ,             ,          ,           ,    267.16k per execution
     47, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,      22708224,      1.15M,         ,             ,          ,           ,    267.16k per execution
     47, CAPSTONE  , STAT, db block gets                                             ,             5,        .25,         ,             ,          ,           ,        .06 per execution
     47, CAPSTONE  , STAT, db block gets from cache                                  ,             5,        .25,         ,             ,          ,           ,        .06 per execution
     47, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             5,        .25,         ,             ,          ,           ,        .06 per execution
     47, CAPSTONE  , STAT, consistent gets                                           ,          3090,     156.92,         ,             ,          ,           ,      36.35 per execution
     47, CAPSTONE  , STAT, consistent gets from cache                                ,           330,      16.76,         ,             ,          ,           ,       3.88 per execution
     47, CAPSTONE  , STAT, consistent gets pin                                       ,           202,      10.26,         ,             ,          ,           ,       2.38 per execution
     47, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           196,       9.95,         ,             ,          ,           ,       2.31 per execution
     47, CAPSTONE  , STAT, consistent gets examination                               ,           128,        6.5,         ,             ,          ,           ,       1.51 per execution
     47, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           125,       6.35,         ,             ,          ,           ,       1.47 per execution
     47, CAPSTONE  , STAT, consistent gets direct                                    ,          2760,     140.16,         ,             ,          ,           ,      32.47 per execution
     47, CAPSTONE  , STAT, logical read bytes from cache                             ,       2744320,    139.36k,         ,             ,          ,           ,     32.29k per execution
     47, CAPSTONE  , STAT, physical reads                                            ,          2772,     140.77,         ,             ,          ,           ,      32.61 per execution
     47, CAPSTONE  , STAT, physical reads cache                                      ,            12,        .61,         ,             ,          ,           ,        .14 per execution
     47, CAPSTONE  , STAT, physical reads direct                                     ,          2760,     140.16,         ,             ,          ,           ,      32.47 per execution
     47, CAPSTONE  , STAT, physical read IO requests                                 ,            38,       1.93,         ,             ,          ,           ,    597.58k bytes per request
     47, CAPSTONE  , STAT, physical read bytes                                       ,      22708224,      1.15M,         ,             ,          ,           ,    267.16k per execution
     47, CAPSTONE  , STAT, free buffer requested                                     ,            12,        .61,         ,             ,          ,           ,        .14 per execution
     47, CAPSTONE  , STAT, physical reads cache prefetch                             ,             3,        .15,         ,             ,          ,           ,        .04 per execution
     47, CAPSTONE  , STAT, calls to kcmgcs                                           ,            27,       1.37,         ,             ,          ,           ,        .32 per execution
     47, CAPSTONE  , STAT, calls to get snapshot scn: kcmgss                         ,            95,       4.82,         ,             ,          ,           ,       1.12 per execution
     47, CAPSTONE  , STAT, file io service time                                      ,           242,      12.29,         ,             ,          ,           ,     6.37us bad guess of IO service time per IO request
     47, CAPSTONE  , STAT, file io wait time                                         ,          6244,     317.08,         ,             ,          ,           ,   164.32us bad guess of IO wait time per IO request
     47, CAPSTONE  , STAT, Number of read IOs issued                                 ,            29,       1.47,         ,             ,          ,           ,        .34 per execution
     47, CAPSTONE  , STAT, no work - consistent read gets                            ,          2929,     148.74,         ,             ,          ,           ,      34.46 per execution
     47, CAPSTONE  , STAT, table scans (short tables)                                ,             9,        .46,         ,             ,          ,           ,        .11 per execution
     47, CAPSTONE  , STAT, table scans (long tables)                                 ,             1,        .05,         ,             ,          ,           ,        .01 per execution
     47, CAPSTONE  , STAT, table scans (direct read)                                 ,             1,        .05,         ,             ,          ,           ,        .01 per execution
     47, CAPSTONE  , STAT, table scan rows gotten                                    ,       1004362,        51k,         ,             ,          ,           ,     11.82k per execution
     47, CAPSTONE  , STAT, table scan disk non-IMC rows gotten                       ,       1004362,        51k,         ,             ,          ,           ,     11.82k per execution
     47, CAPSTONE  , STAT, table scan blocks gotten                                  ,          2820,     143.21,         ,             ,          ,           ,      33.18 per execution
     47, CAPSTONE  , STAT, table fetch by rowid                                      ,            40,       2.03,         ,             ,          ,           ,        .47 per execution
     47, CAPSTONE  , STAT, cluster key scans                                         ,            28,       1.42,         ,             ,          ,           ,        .33 per execution
     47, CAPSTONE  , STAT, cluster key scan block gets                               ,            32,       1.63,         ,             ,          ,           ,        .38 per execution
     47, CAPSTONE  , STAT, rows fetched via callback                                 ,             8,        .41,         ,             ,          ,           ,        .09 per execution
     47, CAPSTONE  , STAT, index fetch by key                                        ,            40,       2.03,         ,             ,          ,           ,        .47 per execution
     47, CAPSTONE  , STAT, index scans kdiixs1                                       ,            43,       2.18,         ,             ,          ,           ,        .51 per execution
     47, CAPSTONE  , STAT, session cursor cache hits                                 ,            82,       4.16,         ,             ,          ,           ,         77 softparses avoided thanks to cursor cache
     47, CAPSTONE  , STAT, cursor authentications                                    ,             1,        .05,         ,             ,          ,           ,        .01 per execution
     47, CAPSTONE  , STAT, buffer is pinned count                                    ,             5,        .25,         ,             ,          ,           ,        .16 % buffer gets avoided thanks to buffer pin caching
     47, CAPSTONE  , STAT, buffer is not pinned count                                ,           221,      11.22,         ,             ,          ,           ,        2.6 per execution
     47, CAPSTONE  , STAT, workarea executions - optimal                             ,            14,        .71,         ,             ,          ,           ,        .16 per execution
     47, CAPSTONE  , STAT, parse time cpu                                            ,             3,        .15,         ,             ,          ,           ,       30ms total parse time CPU
     47, CAPSTONE  , STAT, parse time elapsed                                        ,             3,        .15,         ,             ,          ,           ,       30ms total parse time elapsed
     47, CAPSTONE  , STAT, parse count (total)                                       ,             5,        .25,         ,             ,          ,           ,        .56 softparses per hardparse
     47, CAPSTONE  , STAT, parse count (hard)                                        ,             9,        .46,         ,             ,          ,           ,        .11 per execution
     47, CAPSTONE  , STAT, execute count                                             ,            85,       4.32,         ,             ,          ,           ,         17 executions per parse
     47, CAPSTONE  , STAT, bytes sent via SQL*Net to client                          ,          4314,     219.07,         ,             ,          ,           ,      1.08k bytes per roundtrip
     47, CAPSTONE  , STAT, bytes received via SQL*Net from client                    ,           371,      18.84,         ,             ,          ,           ,      92.75 bytes per roundtrip
     47, CAPSTONE  , STAT, SQL*Net roundtrips to/from client                         ,             4,         .2,         ,             ,          ,           ,        .05 per execution
     47, CAPSTONE  , STAT, sorts (memory)                                            ,            20,       1.02,         ,             ,          ,           ,        .24 per execution
     47, CAPSTONE  , STAT, sorts (rows)                                              ,            23,       1.17,         ,             ,          ,           ,        .27 per execution
     47, CAPSTONE  , TIME, hard parse elapsed time                                   ,         23680,      1.2ms,      .1%, [          ],          ,           , 
     47, CAPSTONE  , TIME, repeated bind elapsed time                                ,            80,     4.06us,      .0%, [          ],          ,           , 
     47, CAPSTONE  , TIME, parse time elapsed                                        ,         24743,     1.26ms,      .1%, [          ],          ,           , 
     47, CAPSTONE  , TIME, DB CPU                                                    ,        308594,    15.67ms,     1.6%, [@         ],          ,           , 
     47, CAPSTONE  , TIME, sql execute elapsed time                                  ,        317461,    16.12ms,     1.6%, [#         ],          ,           , 
     47, CAPSTONE  , TIME, DB time                                                   ,        327778,    16.65ms,     1.7%, [#         ],          ,           ,      -2.19 % unaccounted time
     47, CAPSTONE  , WAIT, Disk file operations I/O                                  ,            46,     2.34us,      .0%, [          ],         1,        .05,       46us average wait
     47, CAPSTONE  , WAIT, db file sequential read                                   ,           203,    10.31us,      .0%, [          ],         8,        .41,    25.38us average wait
     47, CAPSTONE  , WAIT, db file scattered read                                    ,            11,      .56us,      .0%, [          ],         1,        .05,       11us average wait
     47, CAPSTONE  , WAIT, direct path read                                          ,          7101,    360.6us,      .0%, [          ],        29,       1.47,   244.86us average wait
     47, CAPSTONE  , WAIT, SQL*Net message to client                                 ,            17,      .86us,      .0%, [          ],         4,         .2,     4.25us average wait
     47, CAPSTONE  , WAIT, SQL*Net message from client                               ,      19796186,      1.01s,   100.5%, [WWWWWWWWWW],         4,         .2,      4.95s average wait
     47, CAPSTONE  , WAIT, events in waitclass Other                                 ,           506,     25.7us,      .0%, [          ],        29,       1.47,    17.45us average wait
 
	16K_800X_SORT
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES       
     47, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .25,         ,             ,          ,           ,        .13 per execution
     47, CAPSTONE  , STAT, opened cursors cumulative                                 ,            39,       1.91,         ,             ,          ,           ,          1 per execution
     47, CAPSTONE  , STAT, opened cursors current                                    ,            -1,       -.05,         ,             ,          ,           ,         -1 actual value in end of snapshot
     47, CAPSTONE  , STAT, user calls                                                ,             8,        .39,         ,             ,          ,           ,        .21 per execution
     47, CAPSTONE  , STAT, recursive calls                                           ,            53,        2.6,         ,             ,          ,           ,          0 recursive CPU per recursive call
     47, CAPSTONE  , STAT, session logical reads                                     ,          1504,       73.7,         ,             ,          ,           ,      1.51k total buffer visits
     47, CAPSTONE  , STAT, CPU used by this session                                  ,            23,       1.13,         ,             ,          ,           ,      230ms total CPU used by this session
     47, CAPSTONE  , STAT, DB time                                                   ,            23,       1.13,         ,             ,          ,           ,        .59 per execution
     47, CAPSTONE  , STAT, non-idle wait time                                        ,             1,        .05,         ,             ,          ,           ,        .03 per execution
     47, CAPSTONE  , STAT, non-idle wait count                                       ,            66,       3.23,         ,             ,          ,           ,       1.69 per execution
     47, CAPSTONE  , STAT, process last non-idle time                                ,            55,        2.7,         ,             ,          ,           ,       1.41 per execution
     47, CAPSTONE  , STAT, session uga memory max                                    ,       2162616,    105.97k,         ,             ,          ,           ,      2.16M actual value in end of snapshot
     47, CAPSTONE  , STAT, enqueue requests                                          ,             3,        .15,         ,             ,          ,           ,        .08 per execution
     47, CAPSTONE  , STAT, enqueue releases                                          ,             3,        .15,         ,             ,          ,           ,        .08 per execution
     47, CAPSTONE  , STAT, physical read total IO requests                           ,            30,       1.47,         ,             ,          ,           ,    746.56k bytes per request
     47, CAPSTONE  , STAT, physical read total multi block requests                  ,            25,       1.23,         ,             ,          ,           ,          5 total single block read requests
     47, CAPSTONE  , STAT, physical read total bytes                                 ,      22396928,       1.1M,         ,             ,          ,           ,    574.28k per execution
     47, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,      22396928,       1.1M,         ,             ,          ,           ,    574.28k per execution
     47, CAPSTONE  , STAT, db block gets                                             ,             5,        .25,         ,             ,          ,           ,        .13 per execution
     47, CAPSTONE  , STAT, db block gets from cache                                  ,             5,        .25,         ,             ,          ,           ,        .13 per execution
     47, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             5,        .25,         ,             ,          ,           ,        .13 per execution
     47, CAPSTONE  , STAT, consistent gets                                           ,          1499,      73.45,         ,             ,          ,           ,      38.44 per execution
     47, CAPSTONE  , STAT, consistent gets from cache                                ,           137,       6.71,         ,             ,          ,           ,       3.51 per execution
     47, CAPSTONE  , STAT, consistent gets pin                                       ,            78,       3.82,         ,             ,          ,           ,          2 per execution
     47, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,            73,       3.58,         ,             ,          ,           ,       1.87 per execution
     47, CAPSTONE  , STAT, consistent gets examination                               ,            59,       2.89,         ,             ,          ,           ,       1.51 per execution
     47, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,            59,       2.89,         ,             ,          ,           ,       1.51 per execution
