
	8K_800X_NOCOMPRESS_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     45, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .33,         ,             ,          ,           ,        .03 per execution
     45, CAPSTONE  , STAT, opened cursors cumulative                                 ,           144,        9.5,         ,             ,          ,           ,          1 per execution
     45, CAPSTONE  , STAT, opened cursors current                                    ,            -1,       -.07,         ,             ,          ,           ,         -1 actual value in end of snapshot
     45, CAPSTONE  , STAT, user calls                                                ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     45, CAPSTONE  , STAT, recursive calls                                           ,           288,         19,         ,             ,          ,           ,   138.89us recursive CPU per recursive call
     45, CAPSTONE  , STAT, recursive cpu usage                                       ,             4,        .26,         ,             ,          ,           ,       40ms total recursive CPU usage
     45, CAPSTONE  , STAT, session logical reads                                     ,         68143,       4.5k,         ,             ,          ,           ,     68.15k total buffer visits
     45, CAPSTONE  , STAT, CPU used by this session                                  ,           185,      12.21,         ,             ,          ,           ,      1.85s total CPU used by this session
     45, CAPSTONE  , STAT, DB time                                                   ,           192,      12.67,         ,             ,          ,           ,       1.33 per execution
     45, CAPSTONE  , STAT, user I/O wait time                                        ,            10,        .66,         ,             ,          ,           ,        .07 per execution
     45, CAPSTONE  , STAT, non-idle wait time                                        ,            10,        .66,         ,             ,          ,           ,        .07 per execution
     45, CAPSTONE  , STAT, non-idle wait count                                       ,           640,      42.23,         ,             ,          ,           ,       4.44 per execution
     45, CAPSTONE  , STAT, process last non-idle time                                ,           164,      10.82,         ,             ,          ,           ,       1.14 per execution
     45, CAPSTONE  , STAT, session uga memory max                                    ,        558728,     36.86k,         ,             ,          ,           ,    558.73k actual value in end of snapshot
     45, CAPSTONE  , STAT, enqueue requests                                          ,            14,        .92,         ,             ,          ,           ,         .1 per execution
     45, CAPSTONE  , STAT, enqueue releases                                          ,            14,        .92,         ,             ,          ,           ,         .1 per execution
     45, CAPSTONE  , STAT, physical read total IO requests                           ,           606,      39.98,         ,             ,          ,           ,    914.89k bytes per request
     45, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      34.97,         ,             ,          ,           ,         76 total single block read requests
     45, CAPSTONE  , STAT, physical read total bytes                                 ,     554426368,     36.58M,         ,             ,          ,           ,      3.85M per execution
     45, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554426368,     36.58M,         ,             ,          ,           ,      3.85M per execution
     45, CAPSTONE  , STAT, db block gets                                             ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     45, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     45, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             6,         .4,         ,             ,          ,           ,        .04 per execution
     45, CAPSTONE  , STAT, consistent gets                                           ,         68135,       4.5k,         ,             ,          ,           ,     473.16 per execution
     45, CAPSTONE  , STAT, consistent gets from cache                                ,           573,       37.8,         ,             ,          ,           ,       3.98 per execution
     45, CAPSTONE  , STAT, consistent gets pin                                       ,           347,      22.89,         ,             ,          ,           ,       2.41 per execution
     45, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           295,      19.46,         ,             ,          ,           ,       2.05 per execution
     45, CAPSTONE  , STAT, consistent gets examination                               ,           226,      14.91,         ,             ,          ,           ,       1.57 per execution
     45, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           213,      14.05,         ,             ,          ,           ,       1.48 per execution
     45, CAPSTONE  , STAT, consistent gets direct                                    ,         67562,      4.46k,         ,             ,          ,           ,     469.18 per execution
     45, CAPSTONE  , STAT, logical read bytes from cache                             ,       4759552,    314.02k,         ,             ,          ,           ,     33.05k per execution
     45, CAPSTONE  , STAT, physical reads                                            ,         67679,      4.47k,         ,             ,          ,           ,     469.99 per execution
     45, CAPSTONE  , STAT, physical reads cache                                      ,           117,       7.72,         ,             ,          ,           ,        .81 per execution
     45, CAPSTONE  , STAT, physical reads direct                                     ,         67562,      4.46k,         ,             ,          ,           ,     469.18 per execution
     45, CAPSTONE  , STAT, physical read IO requests                                 ,           606,      39.98,         ,             ,          ,           ,    914.89k bytes per request
     45, CAPSTONE  , STAT, physical read bytes                                       ,     554426368,     36.58M,         ,             ,          ,           ,      3.85M per execution
     45, CAPSTONE  , STAT, free buffer requested                                     ,           117,       7.72,         ,             ,          ,           ,        .81 per execution
     45, CAPSTONE  , STAT, physical reads cache prefetch                             ,            50,        3.3,         ,             ,          ,           ,        .35 per execution
     45, CAPSTONE  , STAT, shared hash latch upgrades - no wait                      ,            46,       3.03,         ,             ,          ,           ,        .32 per execution
     45, CAPSTONE  , STAT, calls to kcmgcs                                           ,            33,       2.18,         ,             ,          ,           ,        .23 per execution
     45, CAPSTONE  , STAT, calls to get snapshot scn: kcmgss                         ,           167,      11.02,         ,             ,          ,           ,       1.16 per execution
     45, CAPSTONE  , STAT, file io service time                                      ,          3964,     261.53,         ,             ,          ,           ,     6.54us bad guess of IO service time per IO request
     45, CAPSTONE  , STAT, file io wait time                                         ,         90749,      5.99k,         ,             ,          ,           ,   149.75us bad guess of IO wait time per IO request
     45, CAPSTONE  , STAT, Number of read IOs issued                                 ,           539,      35.56,         ,             ,          ,           ,       3.74 per execution
     45, CAPSTONE  , STAT, no work - consistent read gets                            ,         67867,      4.48k,         ,             ,          ,           ,      471.3 per execution
     45, CAPSTONE  , STAT, table scans (short tables)                                ,             9,        .59,         ,             ,          ,           ,        .06 per execution
     45, CAPSTONE  , STAT, table scans (long tables)                                 ,             1,        .07,         ,             ,          ,           ,        .01 per execution
     45, CAPSTONE  , STAT, table scans (direct read)                                 ,             1,        .07,         ,             ,          ,           ,        .01 per execution
     45, CAPSTONE  , STAT, table scan rows gotten                                    ,      10015612,     660.8k,         ,             ,          ,           ,     69.55k per execution
     45, CAPSTONE  , STAT, table scan disk non-IMC rows gotten                       ,      10015612,     660.8k,         ,             ,          ,           ,     69.55k per execution
     45, CAPSTONE  , STAT, table scan blocks gotten                                  ,         67676,      4.47k,         ,             ,          ,           ,     469.97 per execution
     45, CAPSTONE  , STAT, table fetch by rowid                                      ,            66,       4.35,         ,             ,          ,           ,        .46 per execution
     45, CAPSTONE  , STAT, cluster key scans                                         ,            60,       3.96,         ,             ,          ,           ,        .42 per execution
