	8K_800X_NOCOMPRESS_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     52, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .33,         ,             ,          ,           ,        .02 per execution
     52, CAPSTONE  , STAT, opened cursors cumulative                                 ,           246,      16.37,         ,             ,          ,           ,          1 per execution
     52, CAPSTONE  , STAT, opened cursors current                                    ,            -1,       -.07,         ,             ,          ,           ,         -1 actual value in end of snapshot
     52, CAPSTONE  , STAT, user calls                                                ,             7,        .47,         ,             ,          ,           ,        .03 per execution
     52, CAPSTONE  , STAT, recursive calls                                           ,           463,       30.8,         ,             ,          ,           ,   129.59us recursive CPU per recursive call
     52, CAPSTONE  , STAT, recursive cpu usage                                       ,             6,         .4,         ,             ,          ,           ,       60ms total recursive CPU usage
     52, CAPSTONE  , STAT, session logical reads                                     ,         68461,      4.55k,         ,             ,          ,           ,     68.47k total buffer visits
     52, CAPSTONE  , STAT, CPU used by this session                                  ,           323,      21.49,         ,             ,          ,           ,      3.23s total CPU used by this session
     52, CAPSTONE  , STAT, DB time                                                   ,           875,      58.21,         ,             ,          ,           ,       3.56 per execution
     52, CAPSTONE  , STAT, user I/O wait time                                        ,           662,      44.04,         ,             ,          ,           ,       2.69 per execution
     52, CAPSTONE  , STAT, non-idle wait time                                        ,           663,      44.11,         ,             ,          ,           ,        2.7 per execution
     52, CAPSTONE  , STAT, non-idle wait count                                       ,           641,      42.65,         ,             ,          ,           ,       2.61 per execution
     52, CAPSTONE  , STAT, process last non-idle time                                ,           328,      21.82,         ,             ,          ,           ,       1.33 per execution
     52, CAPSTONE  , STAT, session uga memory max                                    ,       1659584,    110.41k,         ,             ,          ,           ,      1.66M actual value in end of snapshot
     52, CAPSTONE  , STAT, enqueue requests                                          ,            20,       1.33,         ,             ,          ,           ,        .08 per execution
     52, CAPSTONE  , STAT, enqueue releases                                          ,            20,       1.33,         ,             ,          ,           ,        .08 per execution
     52, CAPSTONE  , STAT, physical read total IO requests                           ,           606,      40.32,         ,             ,          ,           ,    914.89k bytes per request
     52, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      35.26,         ,             ,          ,           ,         76 total single block read requests
     52, CAPSTONE  , STAT, physical read total bytes                                 ,     554426368,     36.89M,         ,             ,          ,           ,      2.25M per execution
     52, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554426368,     36.89M,         ,             ,          ,           ,      2.25M per execution
     52, CAPSTONE  , STAT, db block gets                                             ,             8,        .53,         ,             ,          ,           ,        .03 per execution
     52, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .53,         ,             ,          ,           ,        .03 per execution
     52, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             6,         .4,         ,             ,          ,           ,        .02 per execution
     52, CAPSTONE  , STAT, consistent gets                                           ,         68453,      4.55k,         ,             ,          ,           ,     278.26 per execution
     52, CAPSTONE  , STAT, consistent gets from cache                                ,           891,      59.28,         ,             ,          ,           ,       3.62 per execution
     52, CAPSTONE  , STAT, consistent gets pin                                       ,           527,      35.06,         ,             ,          ,           ,       2.14 per execution
     52, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           475,       31.6,         ,             ,          ,           ,       1.93 per execution
     52, CAPSTONE  , STAT, consistent gets examination                               ,           364,      24.22,         ,             ,          ,           ,       1.48 per execution
     52, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           351,      23.35,         ,             ,          ,           ,       1.43 per execution
     52, CAPSTONE  , STAT, consistent gets direct                                    ,         67562,      4.49k,         ,             ,          ,           ,     274.64 per execution
     52, CAPSTONE  , STAT, logical read bytes from cache                             ,       7364608,    489.98k,         ,             ,          ,           ,     29.94k per execution
     52, CAPSTONE  , STAT, physical reads                                            ,         67679,       4.5k,         ,             ,          ,           ,     275.12 per execution
     52, CAPSTONE  , STAT, physical reads cache                                      ,           117,       7.78,         ,             ,          ,           ,        .48 per execution
     52, CAPSTONE  , STAT, physical reads direct                                     ,         67562,      4.49k,         ,             ,          ,           ,     274.64 per execution
     52, CAPSTONE  , STAT, physical read IO requests                                 ,           606,      40.32,         ,             ,          ,           ,    914.89k bytes per request
     52, CAPSTONE  , STAT, physical read bytes                                       ,     554426368,     36.89M,         ,             ,          ,           ,      2.25M per execution
     52, CAPSTONE  , STAT, free buffer requested                                     ,           117,       7.78,         ,             ,          ,           ,        .48 per execution
     52, CAPSTONE  , STAT, physical reads cache prefetch                             ,            50,       3.33,         ,             ,          ,           ,         .2 per execution
