	8K_800X_NOCOMPRESS_RAND_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     68, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .33,         ,             ,          ,           ,        .03 per execution
     68, CAPSTONE  , STAT, opened cursors cumulative                                 ,           144,       9.55,         ,             ,          ,           ,          1 per execution
     68, CAPSTONE  , STAT, user calls                                                ,             7,        .46,         ,             ,          ,           ,        .05 per execution
     68, CAPSTONE  , STAT, recursive calls                                           ,           258,      17.11,         ,             ,          ,           ,   116.28us recursive CPU per recursive call
     68, CAPSTONE  , STAT, recursive cpu usage                                       ,             3,         .2,         ,             ,          ,           ,       30ms total recursive CPU usage
     68, CAPSTONE  , STAT, session logical reads                                     ,         68107,      4.52k,         ,             ,          ,           ,     68.12k total buffer visits
     68, CAPSTONE  , STAT, CPU used when call started                                ,           333,      22.09,         ,             ,          ,           ,      3.33s total CPU used when call started
     68, CAPSTONE  , STAT, CPU used by this session                                  ,           333,      22.09,         ,             ,          ,           ,      3.33s total CPU used by this session
     68, CAPSTONE  , STAT, DB time                                                   ,           818,      54.25,         ,             ,          ,           ,       5.68 per execution
     68, CAPSTONE  , STAT, user I/O wait time                                        ,           545,      36.15,         ,             ,          ,           ,       3.78 per execution
     68, CAPSTONE  , STAT, non-idle wait time                                        ,           545,      36.15,         ,             ,          ,           ,       3.78 per execution
     68, CAPSTONE  , STAT, non-idle wait count                                       ,           636,      42.18,         ,             ,          ,           ,       4.42 per execution
     68, CAPSTONE  , STAT, process last non-idle time                                ,           379,      25.14,         ,             ,          ,           ,       2.63 per execution
     68, CAPSTONE  , STAT, session uga memory max                                    ,       1718656,    113.98k,         ,             ,          ,           ,      1.72M actual value in end of snapshot
     68, CAPSTONE  , STAT, session pga memory                                        ,        -65536,     -4.35k,         ,             ,          ,           ,    -65.54k actual value in end of snapshot
     68, CAPSTONE  , STAT, enqueue requests                                          ,            12,         .8,         ,             ,          ,           ,        .08 per execution
     68, CAPSTONE  , STAT, enqueue releases                                          ,            12,         .8,         ,             ,          ,           ,        .08 per execution
     68, CAPSTONE  , STAT, physical read total IO requests                           ,           601,      39.86,         ,             ,          ,           ,    921.92k bytes per request
     68, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      35.15,         ,             ,          ,           ,         71 total single block read requests
     68, CAPSTONE  , STAT, physical read total bytes                                 ,     554074112,     36.75M,         ,             ,          ,           ,      3.85M per execution
     68, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554074112,     36.75M,         ,             ,          ,           ,      3.85M per execution
     68, CAPSTONE  , STAT, db block gets                                             ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     68, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     68, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     68, CAPSTONE  , STAT, consistent gets                                           ,         68099,      4.52k,         ,             ,          ,           ,     472.91 per execution
     68, CAPSTONE  , STAT, consistent gets from cache                                ,           575,      38.13,         ,             ,          ,           ,       3.99 per execution
     68, CAPSTONE  , STAT, consistent gets pin                                       ,           348,      23.08,         ,             ,          ,           ,       2.42 per execution
     68, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           298,      19.76,         ,             ,          ,           ,       2.07 per execution
     68, CAPSTONE  , STAT, consistent gets examination                               ,           227,      15.05,         ,             ,          ,           ,       1.58 per execution
     68, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           215,      14.26,         ,             ,          ,           ,       1.49 per execution
     68, CAPSTONE  , STAT, consistent gets direct                                    ,         67524,      4.48k,         ,             ,          ,           ,     468.92 per execution
     68, CAPSTONE  , STAT, logical read bytes from cache                             ,       4775936,    316.75k,         ,             ,          ,           ,     33.17k per execution
     68, CAPSTONE  , STAT, physical reads                                            ,         67636,      4.49k,         ,             ,          ,           ,     469.69 per execution
     68, CAPSTONE  , STAT, physical reads cache                                      ,           112,       7.43,         ,             ,          ,           ,        .78 per execution
     68, CAPSTONE  , STAT, physical reads direct                                     ,         67524,      4.48k,         ,             ,          ,           ,     468.92 per execution
     68, CAPSTONE  , STAT, physical read IO requests                                 ,           601,      39.86,         ,             ,          ,           ,    921.92k bytes per request
     68, CAPSTONE  , STAT, physical read bytes                                       ,     554074112,     36.75M,         ,             ,          ,           ,      3.85M per execution
     68, CAPSTONE  , STAT, free buffer requested                                     ,           112,       7.43,         ,             ,          ,           ,        .78 per execution
     68, CAPSTONE  , STAT, physical reads cache prefetch                             ,            50,       3.32,         ,             ,          ,           ,        .35 per execution
     68, CAPSTONE  , STAT, shared hash latch upgrades - no wait                      ,            33,       2.19,         ,             ,          ,           ,        .23 per execution
     68, CAPSTONE  , STAT, calls to kcmgcs                                           ,            33,       2.19,         ,             ,          ,           ,        .23 per execution
     68, CAPSTONE  , STAT, calls to get snapshot scn: kcmgss                         ,           167,      11.08,         ,             ,          ,           ,       1.16 per execution
     68, CAPSTONE  , STAT, file io service time                                      ,          2261,     149.95,         ,             ,          ,           ,     3.76us bad guess of IO service time per IO request
